Delayed or didn't get other medical care compared by Race - OMB/Department of Finance,,,,,,,,,,,,,,,,,,,,,,,,
Age in years ( 18 - 106 ),,,,,,,,,,,,,,,,,,,,,,,,
Regions in California (Bay Area Counties),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
* = statistically unstable,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Race - OMB/Department of Finance,,,,,,,,,,,,,,,,,,,,,,,
Delayed or didn't get other medical care,Latino,,,White (non-Latino),,,Black or African American (non-Latino),,,American-Indian/Alaska Native (non-Latino),,,Asian (non-Latino),,,Native Hawaiian/Pacific Islander (non-Latino),,,Two or More Races (non-Latino),,,All,,
,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population
Delayed or didn't get care,18.9%,16.9 - 20.9,"245,000",21.6%,20.5 - 22.8,"523,000",16.2%,13.3 - 19.1,"57,000",18.0*,0 - 46.0,"2,000",14.5%,13.2 - 15.8,"237,000",7.9*,2.1 - 13.7,"3,000",23.6%,19.6 - 27.6,"43,000",18.8%,18.0 - 19.5,"1,111,000"
Did not delay care,81.1%,79.1 - 83.1,"1,045,000",78.4%,77.2 - 79.5,"1,882,000",83.8%,80.9 - 86.7,"293,000",82.0*,54.0 - 100,"10,000",85.5%,84.2 - 86.8,"1,405,000",92.1*,86.3 - 97.9,"27,000",76.4%,72.4 - 80.4,"144,000",81.2%,80.5 - 82.0,"4,806,000"
Total,100.0%,-,"1,290,000",100.0%,-,"2,405,000",100.0%,-,"350,000",100.0%,-,"12,000",100.0%,-,"1,642,000",100.0%,-,"30,000",100.0%,-,"187,000",100.0%,-,"5,916,000"
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Created on: 6/29/2026 9:43 AM,,,,,,,,,,,,,,,,,,,,,,,,
"Source: 2021, 2022, 2023, 2024 California Health Interview Survey",,,,,,,,,,,,,,,,,,,,,,,,
