Type of usual source of care compared by Race - OMB/Department of Finance,,,,,,,,,,,,,,,,,,,,,,,,
", ",,,,,,,,,,,,,,,,,,,,,,,,
Age in years ( 18 - 106 ),,,,,,,,,,,,,,,,,,,,,,,,
Regions in California (Bay Area Counties),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
* = statistically unstable,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Race - OMB/Department of Finance,,,,,,,,,,,,,,,,,,,,,,,
Type of usual source of care,Latino,,,White (non-Latino),,,Black or African American (non-Latino),,,American-Indian/Alaska Native (non-Latino),,,Asian (non-Latino),,,Native Hawaiian/Pacific Islander (non-Latino),,,Two or More Races (non-Latino),,,All,,
,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population
Doctor's office/HMO/Kaiser,50.8%,48.1 - 53.5,"657,000",77.1%,75.9 - 78.2,"1,855,000",59.3%,54.4 - 64.1,"207,000",79.7*,46.3 - 100,"9,000",58.2%,56.1 - 60.3,"958,000",47.6%,26.0 - 69.1,"14,000",70.1%,64.6 - 75.5,"132,000",64.8%,63.8 - 65.7,"3,834,000"
Community clinic/government clinic/community hospital,28.5%,26.3 - 30.7,"366,000",10.5%,9.6 - 11.5,"254,000",22.1%,18.1 - 26.2,"77,000",15.3*,0 - 43.3,"2,000",22.8%,21.1 - 24.4,"372,000",18.0*,4.9 - 31.1,"5,000",11.9%,9.0 - 14.8,"22,000",18.5%,17.8 - 19.3,"1,098,000"
Emergency room/Urgent care,1.6%,0.7 - 2.6,"21,000",0.3%,0.2 - 0.4,"6,000",2.5%,1.6 - 3.3,"9,000",-,-,-,0.4*,0.1 - 0.7,"6,000",-,-,-,0.4*,0.0 - 0.7,"1,000",0.8%,0.5 - 1.0,"46,000"
Some other place/No one place,1.0%,0.6 - 1.4,"13,000",2.4%,2.0 - 2.8,"58,000",1.3%,0.7 - 1.9,"5,000",-,-,-,1.8%,1.2 - 2.4,"31,000",-,-,-,3.2*,1.1 - 5.4,"7,000",1.9%,1.7 - 2.2,"115,000"
No usual source of care,18.1%,15.9 - 20.3,"233,000",9.7%,8.9 - 10.6,"232,000",14.8%,10.9 - 18.8,"52,000",-,-,-,16.8%,15.0 - 18.7,"275,000",19.6*,0 - 39.6,"7,000",14.4%,9.4 - 19.4,"24,000",14.0%,13.2 - 14.8,"824,000"
Total,100.0%,-,"1,290,000",100.0%,-,"2,405,000",100.0%,-,"350,000",100.0%,-,"12,000",100.0%,-,"1,642,000",100.0%,-,"30,000",100.0%,-,"187,000",100.0%,-,"5,916,000"
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Created on: 6/29/2026 9:40 AM,,,,,,,,,,,,,,,,,,,,,,,,
"Source: 2021, 2022, 2023, 2024 California Health Interview Survey",,,,,,,,,,,,,,,,,,,,,,,,
