Type of usual source of care compared by Regions in California,,,,,,,,,,,,,,,,,,,,,,,,
", ",,,,,,,,,,,,,,,,,,,,,,,,
Age in years ( 18 - 106 ),,,,,,,,,,,,,,,,,,,,,,,,
State,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Regions in California,,,,,,,,,,,,,,,,,,,,,,,
Type of usual source of care,North/Sierra Counties,,,Greater Bay Area,,,Sacramento Area,,,San Joaquin Valley,,,Central Coast,,,Los Angeles,,,Other Southern California,,,All,,
,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population
Doctor's office/HMO/Kaiser,53.9%,52.7 - 55.1,"579,000",64.8%,63.8 - 65.7,"3,834,000",69.6%,68.0 - 71.2,"1,267,000",56.4%,55.2 - 57.7,"1,718,000",61.7%,60.1 - 63.4,"1,061,000",57.8%,56.9 - 58.6,"4,387,000",62.1%,61.3 - 62.9,"5,179,000",61.1%,60.7 - 61.5,"18,025,000"
Community clinic/government clinic/community hospital,23.8%,22.6 - 25.0,"255,000",18.5%,17.8 - 19.3,"1,098,000",11.6%,10.4 - 12.7,"211,000",20.2%,19.0 - 21.4,"615,000",17.9%,16.4 - 19.4,"307,000",18.5%,17.7 - 19.3,"1,406,000",15.8%,15.1 - 16.6,"1,322,000",17.7%,17.3 - 18.1,"5,214,000"
Emergency room/Urgent care,1.4%,1.1 - 1.8,"16,000",0.8%,0.5 - 1.0,"46,000",1.7%,1.2 - 2.1,"30,000",1.3%,0.9 - 1.7,"40,000",0.9%,0.5 - 1.2,"15,000",1.5%,1.2 - 1.8,"113,000",0.9%,0.7 - 1.1,"78,000",1.1%,1.0 - 1.3,"337,000"
Some other place/No one place,2.8%,2.2 - 3.4,"30,000",1.9%,1.7 - 2.2,"115,000",2.5%,1.8 - 3.1,"45,000",1.6%,1.3 - 2.0,"49,000",1.7%,1.4 - 2.0,"29,000",1.4%,1.2 - 1.6,"106,000",1.7%,1.5 - 2.0,"144,000",1.8%,1.6 - 1.9,"518,000"
No usual source of care,18.1%,16.9 - 19.3,"195,000",14.0%,13.2 - 14.8,"824,000",14.7%,13.5 - 15.9,"268,000",20.4%,19.2 - 21.7,"623,000",17.8%,16.3 - 19.3,"307,000",20.8%,20.1 - 21.5,"1,574,000",19.4%,18.7 - 20.1,"1,615,000",18.3%,18.0 - 18.7,"5,406,000"
Total,100.0%,-,"1,075,000",100.0%,-,"5,916,000",100.0%,-,"1,821,000",100.0%,-,"3,045,000",100.0%,-,"1,719,000",100.0%,-,"7,585,000",100.0%,-,"8,338,000",100.0%,-,"29,500,000"
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Created on: 6/29/2026 9:53 AM,,,,,,,,,,,,,,,,,,,,,,,,
"Source: 2021, 2022, 2023, 2024 California Health Interview Survey",,,,,,,,,,,,,,,,,,,,,,,,
