Delayed or didn't get other medical care compared by Gender,,,,,,,,,
Age in years ( 18 - 106 ),,,,,,,,,
Regions in California (Bay Area Counties),,,,,,,,,
,,,,,,,,,
,Gender,,,,,,,,
Delayed or didn't get other medical care,Male,,,Female,,,All,,
,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population
Delayed or didn't get care,15.7%,14.6 - 16.7,"456,000",21.7%,20.6 - 22.8,"654,000",18.8%,18.0 - 19.5,"1,111,000"
Did not delay care,84.3%,83.3 - 85.4,"2,447,000",78.3%,77.2 - 79.4,"2,358,000",81.2%,80.5 - 82.0,"4,806,000"
Total,100.0%,-,"2,904,000",100.0%,-,"3,013,000",100.0%,-,"5,916,000"
,,,,,,,,,
,,,,,,,,,
Created on: 6/25/2026 9:30 AM,,,,,,,,,
"Source: 2021, 2022, 2023, 2024 California Health Interview Survey",,,,,,,,,
